DATE,ID_PROD,DATA_TYPE,CF,CF_S13,CF_S14,CF_S14_M,CF_S14_NM,CF_S15,CI,CSE,CSI,DTE,DTI,EBE,FBCF,ISP,M,MDC,MDT,MSB,N_ETP,P,RS,SP,TVA,VA,VS,X,M_B,M_S,X_B,X_S,XM_B,XM_S,MSB_S13,MSB_S11,RS_S11,RS_S13,CS_S11,CS_S13,CCF_S13,VA_NM,VA_M,ATSLP,SSLP,PIB_E,PIB_R
2005,000,N,509462,173871,335591,287639,47952,0,381246,46650,807,1740,29992,196528,131464,7978,210218,82845,11428,228893,66242,855967,276350,-6135,40424,474721,4551,111963,163593,46625,20165,91798,-143428,45173,125228,151396,122404,106721,28992,18507,33730.12,158958.12,315762.88,4490,-4145,547222,547222
2006,000,N,525888,177346,348542,300815,47727,0,403464,46910,1127,1592,29905,196218,122152,8338,203117,85772,11942,239589,67652,888979,287626,-6667,41343,485515,571,113149,155461,47656,18651,94498,-136810,46842,131865,160173,132978,110863,27195,21002,33405.1,165270.1,320244.9,4619,-4331,558643,558643
2007,000,N,544922,184843,360079,312318,47761,0,415713,48074,105,1631,29801,203724,127486,7337,214073,92135,9376,251168,69295,917258,299347,-8863,42672,501545,1388,117672,160639,53434,16720,100952,-143919,47518,135826,167527,138735,116252,28792,19574,33195.17,169021.17,332523.83,5073,-3327,577395,577395
2008,000,N,557087,188924,368163,320306,47857,0,428933,52055,91,645,30152,195892,136767,7605,226449,92799,11361,259027,68161,933850,311173,-9753,44097,504917,2015,109629,175861,50588,16191,93438,-159670,42850,139609,183037,151176,119116,31861,20493,31684.67,171293.67,333623.33,4960,-5722,579049,579049
2009,000,N,548514,186844,361670,312909,48761,0,398814,52545,152,145,27299,185802,119712,7633,196961,81028,10064,255980,65447,890935,308677,-9991,39973,492121,-2067,94149,147126,49835,12511,81638,-134615,31803,141758,168042,136960,119945,31082,21813,30747.62,172505.62,319615.38,4898,-1089,563347,563347
2010,000,N,548567,183167,365400,314699,50701,0,403349,52298,116,542,27478,170074,117197,8119,206362,79222,10380,256039,65079,880343,308453,-9652,39375,476994,-1257,89732,155333,51029,13869,75863,-141464,24834,140594,169086,136908,120134,32178,20460,29444.18,170038.18,306955.82,4815,-1327,547877,547877
2011,000,N,540228,180054,360174,307701,52473,0,395531,53188,107,498,26379,159926,96895,8528,202106,72843,10278,253656,62283,860914,306951,-10022,37565,465383,-126,96970,153994,48112,14385,82585,-139609,34473,141305,166711,134498,120023,32213,21282,27328.94,168633.94,296749.06,4640,-2604,531861,531861
2012,000,N,534498,174610,359888,306749,53139,0,391111,52885,88,449,27037,162156,97939,8735,204116,69296,10442,250487,61066,854137,303460,-11325,37283,463026,-1497,101931,158426,45690,12873,89058,-145553,43368,137788,169108,136229,117510,32879,20278,27196.08,164984.08,298041.92,4487,-3527,528755,528755
2013,000,N,540481,175210,365271,311214,54057,0,397230,54469,98,425,27241,173301,104465,8661,203484,69798,10292,248584,60029,872100,303151,-10243,37699,474870,149,100350,161508,41976,13593,86757,-147915,44781,138534,167901,134049,117643,33852,20891,26601.03,165135.03,309734.97,4467,-2741,541961,541961
2014,000,N,540810,173444,367366,313156,54210,0,392166,57557,63,476,28122,179597,103619,9018,201851,71862,9802,247761,59960,875904,305381,-10258,37736,483738,1132,108889,158496,43355,15305,93584,-143191,50229,137775,172520,136530,115985,35990,21790,26280.49,164055.49,319682.51,4507,-1980,552599,552599
2015,000,N,552376,178082,374294,319774,54520,0,398013,59769,53,439,29481,187521,114128,9874,206308,73578,10357,253818,60297,898810,313640,-10238,38500,500797,266,112350,164707,41601,14101,98249,-150606,56648,138983,176792,138827,116971,37965,22012,26649.15,165632.15,335164.85,4660,-1065,572812,572812
2016,000,N,569064,184763,384301,330241,54060,0,403962,61434,109,375,29902,189022,110255,10542,201513,77878,10177,258921,61528,921657,320464,-9185,39266,517695,-1416,116228,160989,40524,18797,97431,-142192,56907,141061,180986,141836,118668,39150,22393,26655.68,167716.68,349978.32,4965,415,592618,592618
2017,000,N,590251,192595,397656,343753,53903,0,426246,63742,121,499,31001,204476,117923,11477,215796,81595,10754,267666,62647,964613,331529,-9115,41258,538367,3308,120509,172771,43025,16151,104358,-156620,61333,145715,189674,148798,122728,40876,22987,26626.03,172341.03,366025.97,5180,-110,616195,616195
2018,000,N,592635,190474,402161,347080,55081,0,436791,66208,69,455,32965,195212,167672,11490,272991,86055,12060,274368,64636,975655,340645,-8483,43056,538864,2561,130057,226861,46130,14899,115158,-211962,69028,146557,195433,152584,123129,42849,23428,27064.64,173621.64,365242.36,5079,-485,619934,619934
